Date,Revenue,Profit,Expenditure,Growth_Rate,Valuation,Cash_Burn,Market_Share,Customer_Count,Customer_Acquisition_Cost,Customer_Lifetime_Value,Churn_Rate,Employee_Count,Revenue_Per_Employee
2019-03-31,1098236.2566458194,-494883.29634076933,1569463.316064873,,4582648.679719657,125014.15267239086,0.5072443714224103,1016.9248203747208,518.0418016010809,2017.7701000933253,5.379039863881044,56.01385159940048,19606.512055271232
2019-06-30,1075104.5786945217,-458769.351941469,1715283.0301832103,80.0,5579486.458112186,112363.96356803951,0.5595410737104826,1007.3762354300061,465.87906288701714,1890.315952719253,4.895581139066521,49.96887727737397,21515.483982693597
2019-09-30,1097281.4679047128,-429916.5491873556,1510838.0102482652,89.08851077208406,5665124.588375965,121366.09191109015,0.5363005963754338,1091.7841934632086,474.7960186973285,2090.437188637535,4.8770694190610255,52.03620546773284,21086.884757289357
2019-12-31,1193878.4707535177,-497702.5746808801,1715348.615655202,95.82941969615793,6431818.868662333,125890.77690184512,0.5124463503154573,1212.319943895858,493.272623801048,2141.081812574023,5.07907976636916,56.356998160662116,21184.209764863943
2020-03-31,1193282.9063818362,-456593.0830233463,1638554.9516377752,98.4498997320811,6336867.560736364,102248.74041592413,0.5597120475451282,1130.1845102832756,446.42043900335506,2163.0955530268247,5.000238048975068,59.967564232019114,19898.8056570871
2020-06-30,1180753.173387011,-427274.7489965116,1659461.6659343666,96.18594853651364,6225938.403571409,111331.13582784969,0.5241813581317315,1166.4856381526643,486.27284360630046,2246.2479617641575,5.145412422924527,55.17684788787711,21399.431438823347
2020-09-30,1205898.4526617287,-453404.3806405286,1645214.3415867933,89.46944288207914,6436995.25214123,118604.38780958542,0.48697713576054596,1158.0726420274234,458.0956403672991,2248.3085845839782,4.9357272524152105,52.30279548322957,23056.099421079496
2020-12-31,1183244.4451978628,-433008.54281759774,1613316.0540695093,79.82240016119735,7095047.022925212,113481.75925691408,0.5217096671520619,1167.5456007399562,449.2926354044614,2236.077621080578,4.774293000301519,59.343241140824176,19938.992587040713
2021-03-31,1088760.5604205697,-533209.5312125672,1687478.9708045307,69.48433544620761,7157817.990332827,116168.21547616484,0.5045358608378505,1306.4786624136552,468.2256163511564,2206.053287232931,4.887089734909534,66.22245505942813,16440.95736776165
2021-06-30,1085854.7118931245,-498306.98975366075,1625931.3702496043,60.86395009384144,6676403.129181283,110067.13778442341,0.5539161731068686,1235.2115368106413,456.42103482794187,2055.9021449943607,4.9367229730805615,65.88355063309379,16481.423685560927
2021-09-30,1131586.3437540205,-460766.0135192703,1754468.8947364683,55.94939764669806,7108359.818022577,113461.74600530427,0.5716023329291365,1332.282501977552,432.9657289874742,2319.5276836730427,4.870748175172255,59.675231897762,18962.412172820703
2021-12-31,1068932.2039102581,-510613.3426643703,1783679.9596999371,55.82151450673723,6226932.9585525235,111608.75775255587,0.6268271567267101,1333.0655205309422,460.6536341260169,2323.6422716506663,4.8017673722195635,62.46233820084632,17113.22750155669
2022-03-31,1195791.3451453838,-454777.5142152457,1840909.2378830647,60.389193488592156,6718850.8995223185,118569.45343126908,0.5952130873585624,1438.5746084313118,406.7321299871883,2360.768777011675,4.856551852666569,70.14807695218029,17046.673224706512
2022-06-30,1487581.2571439818,-416508.3914036459,1858643.7158969631,68.41169003602148,6367027.963495857,113022.72049068191,0.5864507200806626,1469.4140239862638,437.67722004607924,2208.311176367838,4.846499724743479,69.27354279474584,21474.01731064359
2022-09-30,1610036.6581114694,-496550.61111686664,1969712.3269282812,77.8023997617563,6706890.580541954,113084.63111849531,0.6251579155146103,1563.9686282411426,431.72953383252224,2259.898305902663,4.851833096095885,65.14466974138631,24714.787326469712
2022-12-31,1544254.1898729948,-456724.22038934845,2174885.8601909503,86.13973197437578,7247205.227676262,108557.68984323248,0.5404179123599211,1490.558628974906,407.6475221267936,2546.9596804202934,4.725399498001431,67.65907997267252,22824.049491904392
2023-03-31,1655334.563125187,-397093.6357421305,2195324.585788799,91.25999953549479,7347823.782100152,107806.52994136812,0.622166228765062,1552.2866882268574,415.5496358621846,2445.6141826973667,4.588719140563311,77.10124314830271,21469.622220502773
2023-06-30,1644328.1266155348,-421639.7615736872,2057691.698456396,91.78716493246763,8111539.742644802,107804.03691669769,0.6462366731592631,1539.5200210097319,378.5146122794846,2566.3298330852176,4.608802947847001,69.9929572721214,23492.765425279154
2023-09-30,1844976.9015882146,-393604.50091882836,2175243.4947008207,87.4697422524698,9437021.807215441,112066.60906387426,0.5830356059692895,1628.263254943621,417.1492294657212,2517.024822472828,4.730738584079542,69.11509169304756,26694.26975199694
2023-12-31,1648140.8895630743,-372037.2511140261,2234787.7125181574,79.24236970483513,9502256.411959095,107327.78959245974,0.6733213418228967,1745.4292990445806,390.1048684215907,2549.3599315362476,4.43116115260376,72.76577086887758,22649.94749431007
